,Light_Number,Error,Est_Geocentric_X,Est_Geocentric_Y,Est_Geocentric_Z
0,1,15.332932150727448,-2452515.7740718247,-4768301.032728901,3442379.453542424
1,2,16.306704505114695,-2452487.654531565,-4768304.884221614,3442390.3810879528
2,1,15.54087615091175,-2452515.0911973156,-4768301.309312744,3442379.698670858
3,2,24.76748531329961,-2452481.1652170806,-4768307.619279061,3442397.0281635337
4,2,35.428641567016896,-2452472.653284661,-4768311.606243382,3442403.985966757
5,4,28.04447754215065,-2452473.26701697,-4768335.903219581,3442367.8819554253
6,1,9.379284583997,-2452515.8187151784,-4768301.654189633,3442372.1089207144
7,1,11.11953665512626,-2452515.543731761,-4768301.354700579,3442374.619968875
8,2,95.91497463361792,-2452436.6893861,-4768318.060787766,3442452.8820577003
9,2,22.77768285629525,-2452478.997985825,-4768314.04237672,3442390.2110064733
10,2,20.873595984031788,-2452479.0853157407,-4768311.820506523,3442389.248803281
11,4,18.658735786828903,-2452482.0585880503,-4768330.623791149,3442364.57391489
12,4,23.35649693732186,-2452476.500629442,-4768333.248246587,3442365.1632158104
